,sentence,label,split
290,rating 4 year good,0,train
291,accumulate point 28/4,0,train
292,html css javascript git uiux,1,train
293,team work,0,train
294,communication network skill,1,train
295,ability work pressure multitask,0,train
296,develop strandard html5,0,train
297,css javascript reponsive,1,train
298,https//duccluonggithubio/,0,train
299,bookshop,0,train
300,develop standard html5,0,train
301,https//duccluonggithubio,0,train
302,hopgithubio/,0,train
303,web band,1,train
304,githubio/,0,train
305,text reader software blind,1,train
306,https//githubcom,0,train
307,dbook,0,train
308,machine learnne ai,0,train
309,teamwork ecommerce project,1,train
310,summer,0,train
311,codecomplete company,0,train
312,cafe managerment software,1,train
313,hop,0,train
314,software,0,train
315,build display,0,train
316,supplement knowledge,0,train
317,winform programming ability,0,train
318,work group seftstudy,0,train
319,learn new knowledge,0,train
320,curriculum vitae,0,train
321,apply end developer,0,train
322,personal,0,train
323,information,0,train
324,van rin,0,train
325,nam,0,train
326,nationality,0,train
327,viet nam,0,train
328,hiep ducquang nam,0,train
329,rinto0503@gmailcom,0,train
330,look challenge role,0,train
331,good programmer,0,train
332,school duy tan university,1,train
333,school niit duy tan,0,train
334,additional work experience,0,train
335,company smartdev llc,0,train
336,position intership,0,train
337,time 10/2013 3/2014,0,train
338,company fpt software da nang,1,train
339,position java developer,1,train
340,time 8/2014 12/2016,0,train
341,company agility io,0,train
342,position fullstack developer,1,train
343,time 1/2017 11/2019,0,train
344,company enjoywork,0,train
345,position end teamlead,0,train
346,time 11/2019 ongoing,0,train
347,technical skill,0,train
348,operate system window family window,0,train
349,serverubuntu mac os,0,train
350,end,0,train
351,experience hmtl html5 pub css scss bootstrap material ui,1,train
352,experience java script es5 es6 typescript jquery react redux redux,1,train
353,thunk redux saga redux persist,1,train
354,experience restful api,1,train
355,experience graphql api aplollo client apollo server,1,train
356,experience firebase cloud,1,train
357,experience test jest enzyme,1,train
358,experience work git gitlab github,1,train
359,experience woke trello jira clubhouse,1,train
360,experience agile scrum,1,train
361,backend,0,train
362,experience node js express js,1,train
363,experience java core java spring,1,train
364,experience microsoft sql,1,train
365,experience mongodb,1,train
366,experience ci circle ci drone ci,1,train
367,good team player ability toworkindependently,0,train
368,adaptive learn new technology,0,train
369,easily mingle environment hardworking nature,0,train
370,english skill,1,train
371,read good material,0,train
372,speak normal,0,train
373,1 simon kuchor,0,train
374,technology html5 css,1,train
375,es6 react redux redux saga,1,train
376,restful api tese jest,1,train
377,enzyme,0,train
378,management method scrum,1,train
379,framework role end,0,train
380,developer,0,train
381,description enterprise project development 1 module,0,train
382,pricemap application calculate kpi manager datum,0,train
383,business,0,train
384,analysis implement ui base design,0,train
385,implement action client,0,train
386,implement integrate api server,1,train
387,implement test ui function client,0,train
388,2 ojaslife,0,train
389,technology html5 css javascript jquery backbone js,1,train
390,management method scrum framework,1,train
391,role end developer,0,train
392,description application development platform tv application,1,train
393,support follow health,0,train
394,3 concourse global,0,train
395,restful api tese,1,train
396,cypress,0,train
397,description apllication help counselor student stay organize find,1,train
398,good match university program connect chat university zero,0,train
399,spam online environment manage send application document consult,0,train
400,expert academic advisor time process,0,train
401,4 yoke app,0,train
402,es6 react react context aplollo,1,train
403,graphql test jest,0,train
404,framework role end lead,0,train
405,description app build chat play game,0,train
406,influcener fan,0,train
407,check priority task deliver task team member,0,train
408,revice code team member,0,train
409,track progress work situation team,0,train
410,5 meatbox,0,train
411,es6 react redux restful api,1,train
412,description implement dashboard admin vend machine management,1,train
413,6 heystar app web,1,train
414,php laravel android web,1,train
415,view ios web view,1,train
416,framework role project,0,train
417,manager,0,train
418,description app learn korean beloved k star practice korean real,0,train
419,expression quiz pronounce korean evaluate acquire korean,0,train
420,speak skill real k content,0,train
421,link refer,0,train
422,android,0,train
423,https//playgooglecom,0,train
424,glus,0,train
425,web https//wwwheystarskr/,0,train
426,hobby interest,0,train
427,sport universal science music movie internet programming,0,train
428,truong ngoc long,0,train
429,ngoclongxdev@gmailcom 0929638859,0,train
430,gitlabcom,0,train
431,fresher nodejs,1,train
432,programing language nodejs java,1,train
433,database mysql sql server cassandra mongodb,1,train
434,framework nodejs express socketio,1,train
435,framework java core servlet spring mvc spring boot hibernate,1,train
436,tool work git trello skype,1,train
437,language english read write,1,train
438,staff,0,train
439,experience project,0,train
440,work database design build api web display datum vuejs,1,train
441,technology nodejs vuejs mysql cassandra git,1,train
442,description couple website date tinder,0,train
443,team size 6 member,0,train
444,start glance,0,train
445,couple,0,train
446,nail schedule,0,train
447,technology nodejs vuejs mysql git,1,train
448,description nail schedule website help user schedule service nail spa massage quickly,1,train
449,team size 4 member,0,train
450,toeic video,0,train
451,description toeic video website help user study foreign video,1,train
452,team size 3 member,0,train
453,description web shop ice cream help customer order quickly,1,train
454,ice cream,0,train
455,chinese shop,0,train
456,work database design crawl datum build api web display datum vuejs,1,train
457,description chinese shop website sell fashion footwear toy electronic crawl datum tmall 1688 taobao site,0,train
458,team size 5 member,0,train
459,personal project,0,train
460,developer/ feature,0,train
461,develop online game dice,0,train
462,technology nodejs vuejs socketio,1,train
463,team size 1 member,0,train
464,game dice,0,train
465,developer/ owner,0,train
466,medium,0,train
467,work build api web display datum vuejs,1,train
468,description medium website save image video,0,train
469,technology nodejs vuejs,1,train
470,portfolio,0,train
471,description portfolio website multi language introduce company,0,train
472,technology nodejs vuejs mysql,1,train
473,team size 2 member,0,train
474,work database design design theme display datum jsp,0,train
475,description website sell clock,0,train
476,technology java spring mvc hibernate,1,train
477,web shop sell clock,1,train
478,major gpa engineer 78,0,train
479,coursework practical engineer,0,train
480,certificate,0,train
481,java practice engineer,1,train
482,fpt polytechnic,0,train
483,pham thi minh nhan,0,train
484,manual tester,0,train
485,nhanptm29@gmailcom 0796 850 570 h16/19 k408 hoang dieu hai chau da nang,0,train
486,personal profile,0,train
487,date birth 29/ 05/ 1996,0,train
488,skype ptmn295,0,train
489,marital status single,0,train
490,technical,0,train
491,interpersonal,0,train
492,learn new technology,0,train
493,intensive experience,0,train
494,long term desire develop manager skill experience opportunity,0,train
495,offer company,0,train
496,softech aptech center da nang,0,train
497,oct 2014 oct 2016,0,train
498,grade credit,0,train
499,computer word excel powerpoint,1,train
500,tool jira,1,train
501,software test design execute test case log bugand report bug,1,train
502,teamwork skill work independently,1,train
503,high adaptability new work environment,0,train
504,careful hardworking responsible,0,train
505,japanese equivalent n5,0,train
506,feb 2014 sep 2014,0,train
507,bro group suc tre kinh te,0,train
508,volunteer broadcaster,0,train
509,suki group,0,train
510,danang university economic,1,train
511,collect distribute gift people live disadvantage,0,train
512,circumstance,0,train
513,jun 2014 aug 2016,0,train
514,softech da nang,0,train
515,oct 2016 mar 2017,0,train
516,fpt software,1,train
517,feb 2017 2017,0,train
518,2017 jun 2017,0,train
519,jul 2017 jul 2018,0,train
520,sep 2018 nov 2018,0,train
521,feb 2019 sep 2020,0,train
522,interest,0,train
523,run,0,train
524,join dance performance japan culture exchange programme,0,train
525,project iseebookvn,0,train
526,html5 javascript css adobe flash,1,train
527,create design software lesson function accord curriculum,1,train
528,student,0,train
529,project car manufacturing registration system role tester,0,train
530,java jsp script sql server,1,train
531,convert source system struct spring reteste new,0,train
532,system accord available test case,0,train
533,test functionality sure new system stay,0,train
534,old system,0,train
535,project java base cobol role tester,1,train
536,base modify matrix pattern material develop program source,0,train
537,junit gene ut code ut,0,train
538,reciprocal project test tool automate task edit evidence,1,train
539,evidence develop design ut,0,train
540,project maintain bank role tester,0,train
541,carry maintain eur product help item bank,1,train
542,reciprocal edit teigitai bank,0,train
543,create spec documentation,0,train
544,project bank system role tester,0,train
545,carry test recompile application dot ibs recompile batch,0,train
546,new environment perform test provide test case,1,train
547,perform test base test case create,0,train
548,project wedding invitation system role tester,0,train
549,create implement test case datum test,1,train
550,add bug vertification test,1,train
551,project car system c role tester,1,train
552,ut run ut winam,0,train
553,report issue execute ut test,1,train
554,tuan nguyen quang,0,train
555,software developer,1,train
556,progressive software development team member skilled optimize,0,train
557,design base current expect demand willing,0,train
558,task adapt quickly new need policy,0,train
559,net developer,0,train
560,fpt company 07/2015 present,0,train
561,support ba team clarify requirement form exist system,0,train
562,maintain exist application,0,train
563,develop new mobile application xamarin,0,train
564,native xamarin form swift ios,1,train
565,complete task promptly minimal oversight,0,train
566,support training new member task estimation technical solution,0,train
567,vuejs developer,0,train
568,fpt company 05/2020 present,0,train
569,refine finalize design closely collaborate senior,0,train
570,engineer code implementation validation debug,0,train
571,design develop software application vuejs net,1,train
572,core programming language associate framework,0,train
573,reactjs developer,1,train
574,fpt company 03/2017 06/2017,0,train
575,work poc application newly solution reactjs,0,train
576,fpt university da nang 2011 2015,0,train
577,graduate phd software engineer,1,train
578,novel,0,train
579,gaming,0,train
580,code,0,train
581,sql,1,train
582,vuejs,1,train
583,reactjs,1,train
584,languague,0,train
585,tuannqse90152@gmailcom,0,train
586,/huyetlang7,0,train
587,pham minh huy,0,train
588,september 2017 february 2022,0,train
589,university science technology da nang information,1,train
590,october 31 1999,0,train
591,learn web development,1,train
592,improvement ui / ux,1,train
593,senior frontend developer 4 year,0,train
594,expand mobile app development reactnative,1,train
595,react native warehouse management,1,train
596,fiverr homepage clone,0,train
597,huy1999dnbk@gmailco,0,train
598,m,0,train
599,da nang vietnam,0,train
600,999dnbk,0,train
601,javascript,1,train
602,sass,0,train
603,football,0,train
604,movie,0,train
605,duy tan university,1,train
606,major sofware technology,0,train
607,degree bachelor,0,train
608,wish professional stable develop work environment,0,train
609,longterm attachment company,0,train
610,develop professional skill learn new programming knowledge,0,train
611,thing,0,train
612,2 year professional backend programmer,0,train
613,java programming learn programming language,1,train
614,vo thanh,0,train
615,tin,0,train
616,java developer,1,train
617,personal information,0,train
618,project vaccine management,0,train
619,general team size 14 person,0,train
620,function manager vaccine,0,train
621,storage management display vaccine storage add new vaccine,0,train
622,vtt18011997@gmailcom quang,0,train
623,ngai,0,train
624,backend spring framework spring datum spring web service spring,1,train
625,boot mysql workbench 80ce firebase upload image file,1,train
626,frontend spring mvc html5 bootstrap4 css3,1,train
627,nhtin3348/,0,train
628,description project postion stack developer,0,train
629,spring boot write apis web service datum backend,1,train
630,frontend jdbc jparepository connect database,1,train
631,crud database vaccine,0,train
632,frontend build ui,1,train
633,thymeleaf bind datum view,0,train
634,look forward work,0,train
635,professional programming environment,0,train
636,develop professional,0,train
637,skill learn new programming,0,train
638,knowledge successfully complete,0,train
639,assign,0,train
640,work,0,train
641,angular framework,0,train
642,htm,0,train
643,l,0,train
644,project scope,0,train
645,requirement read,0,train
646,project date website,0,train
647,general team size 10 person,0,train
648,function date websitemanagement,0,train
649,change password account,0,train
650,change avatar account,0,train
651,update status account,0,train
652,set status account online offline,0,train
653,project scope requirement read,0,train
654,create prototype design ui function delete modify create,1,train
655,design detail write usecase diagram pseudocode create,1,train
656,blackbox tc,0,train
657,create database mysql workbench 80ce,1,train
658,code java8 spring boot spring resful angular bootstrap html css,1,train
659,angular material,0,train
660,review code,0,train
661,review quality,0,train
662,finish project scrum,0,train
663,jquery,1,train
664,ajax,1,train
665,mysql,1,train
666,award,0,train
667,certificate programming course,0,train
668,completion codegym,0,train
669,personal quality,0,train
670,hard work high pressure,0,train
671,high teamwork,1,train
672,spirit eager,0,train
673,learn share,0,train
674,analysis ability carefully,0,train
675,coffee play game football,0,train
676,friendly sociable,0,train
677,mrs tran thi tam mobile,0,train
678,email tamtran@codegymvn,0,train
679,danang university science technology,1,train
680,august 2018 present,0,train
681,machine learn tutorial youtube andrew ng,0,train
682,knowledge gradient descent nomal equation linear regression,0,train
683,present,0,train
684,nguyen duc tai,0,train
685,ai internship,0,train
686,main knowledge,0,train
687,gpa 321/4,0,train
688,html css,1,train
689,oop,0,train
690,member executive committee,0,train
691,member executive committee hochiminh communist youth union,0,train
692,faculty information technology,1,train
693,sgroup,0,train
694,present take programming team sgroup student club,0,train
695,programming marketing online design,0,train
696,july 22 2000,0,train
697,ductai26998@gmailcom,0,train
698,github https//githubcom,0,train
699,soccer,0,train
700,volleyball,0,train
701,member science research team danang university science technology,0,train
702,topic lorawan network topic ai machine learn,0,train
703,kennestshop,0,train
704,programming java,1,train
705,weather forecast app,1,train
706,web page interface,1,train
707,programming html css javascript,1,train
708,scientific research,1,train
709,personality,0,train
710,hardworking,0,train
711,sociable,0,train
712,eager learn,0,train
713,discipline,0,train
714,frontend web intern,1,train
715,pham anh tuan,0,train
716,tuanpham22@studentpasserellesnumeriquesorg,0,train
717,phuoc son tra da nang,0,train
718,git hub,0,train
719,hope,0,train
720,acquaint,0,train
721,practical work,0,train
722,environment,0,train
723,desire contribute,0,train
724,development,1,train
725,project management,0,train
726,time management,1,train
727,html javascript,1,train
728,oop php,1,train
729,geography,0,train
730,history,0,train
731,social activity,0,train
732,apr 12 2021 apr 21 2021,0,train
733,support child,0,train
734,orphanage,0,train
735,dinhcong@passerellesnumeriquesorg,0,train
736,passerelle numerique vietnam pnv,0,train
737,bachelor diploma information technology,1,train
738,sep 2019 sep 2022,0,train
739,php project,1,train
740,ecommerce website trade stuff product,0,train
741,mar 25 2021 apr 9 2021 link github,0,train
742,leader,0,train
743,construct structural property,0,train
744,design function project,0,train
745,maintain website fix error,1,train
746,javascript web project,1,train
747,jan 2021 feb 2021 link github,0,train
748,oop project,0,train
749,internet service system manager,0,train
750,oct 2020 nov 2020,0,train
751,write report,1,train
752,maintain product fix error,0,train
753,phuoc thien,0,train
754,intern frontend / react,0,train
755,date birth june 6 1999,0,train
756,phone 0327012782,0,train
757,email thiendp99@gmailcom,0,train
758,adress ngu hanh son danang city,0,train
759,longterm goal,0,train
760,gain real project experience,1,train
761,look longterm workplace,0,train
762,aug 2017 dec 2021,0,train
763,vietnam korea university information,1,train
764,university danang,0,train
765,software engineer specialization,1,train
766,graduation dec 2021,0,train
767,work experience frontend,1,train
768,aug 2017 apr 2018,0,train
769,apr 2019 jun 2019,0,train
770,school,0,train
771,project school,0,train
772,achievement skill gain,0,train
773,build basic demo website html css javascript,1,train
774,boostrap framework,1,train
775,improve build website skill,0,train
776,safehorizon software sevice company,1,train
777,intern end parttime,0,train
778,work group skill,0,train
779,build demo website news reactjs,0,train
780,knowledge,0,train
781,htmlcssjavascript,1,train
782,reactnative expressjs basic,1,train
783,news website,0,train
784,mar 2019 jun 2019,0,train
785,customer,0,train
786,description,0,train
787,right phone,0,train
788,team size,0,train
789,position,0,train
790,developer frontend,0,train
791,analysis design,0,train
792,react 1686 axios reactstrap nodejs,1,train
793,website help people read news convenient anytime,1,train
794,local library,0,train
795,book author book instance datum mongodb cloud,1,train
796,expressjs nodejs,1,train
797,add delete item react native,0,train
798,le duc huy,0,train
799,internship reactjs developer,0,train
800,feb 01 2000,0,train
801,ldhuy0102work@gmailcom,0,train
802,lao bao huong hoa quang,0,train
803,tri,0,train
804,developer specialize web frontend backend development look forward work,1,train
805,learn accumulate experience knowledgei believe learn ,0,train
806,communication teamwork presentation work,1,train
807,company hope employee contribute development,0,train
808,aug 2018 aug 2022,0,train
809,nov 2020 dec 2021,0,train
810,major software engineer,1,train
811,gpa 28/4,0,train
812,ecomerce js website,0,train
813,end developer,0,train
814,responsive,0,train
815,page,0,train
816,ecomerece react app,0,train
817,end developver,0,train
818,technology html css vanilla js mock api jsonserver,1,train
819,description small app basic function add cart delete detail,0,train
820,link https//githubcom,0,train
821,jan march 2021,0,train
822,technology html scss react hook mock api jsonserver,1,train
823,description laptop shop filter product add cart search registration,0,train
824,login function design ui ux self,1,train
825,feb march 2021,0,train
826,chat realtime,0,train
827,end developver backend developer,0,train
828,technology html scss react hook redux nodejs expressjs,1,train
829,mongodb,1,train
830,description chat realtime app login authentication group chat join,0,train
831,chat signup signout invitation,0,train
832,html css scss sass javascript react redux sql nodejs,1,train
833,mongodb typescript angular nestjs nextjs cicd docker microservice,1,train
834,basic kubernete,0,train
835,travel music technology,0,train
836,additional information,0,train
837,english read write listen,1,train
838,goal willing learn javascript environment,1,train
839,ability selfresearch new technology,0,train
840,good algorithm datum structure,1,train
841,thai viet viet,0,train
842,0353163331 thaivietviet@gmailcom skype livethaivietviet,0,train
843,shortterm accumulate experience practice skill effective job handle,0,train
844,long term senior employee,0,train
845,duy tan university 2014 2019,0,train
846,technology summary,0,train
847,frontend,0,train
848,database,0,train
849,fpt software company,1,train
850,1 year experience work java,1,train
851,sws project,0,train
852,html css javascript ajax,1,train
853,java core jsp servlet spring mvc spring boot jpa hibernate,1,train
854,sql server mysql,1,train
855,eclipse sublime text postman mysql workbench,1,train
856,dec 2020 mar 2021,0,train
857,developer join team 50 teammate develop web application insurance,1,train
858,responsibility code,0,train
859,technical stack spring boot spring jpa mysql html css js svn,1,train
860,aug 2020 nov 2020,0,train
861,developer join team work 25 teammate responsibility create ut excute ut,1,train
862,follow input document,0,train
863,technical stack spring mvc jsp javascript,1,train
864,mar 2020 aug 2020,0,train
865,developer join team 20 teammate develop allocatation resource,0,train
866,responsibility code ut,1,train
867,technical stack spring mvc mysql html css svn,1,train
868,jan 2020 mar 2020,0,train
869,developer intern join team 2 teammate develop web application shop shoe online,1,train
870,technical stack spring mvc spring jdbc sql server jsp js jquery html css,1,train
871,ams project,0,train
872,rma project,0,train
873,shoe project,0,train
874,tran thi thu cong,0,train
875,congtran24499@gmailcom,0,train
876,thucong,0,train
877,https//accountsvibloasia/,0,train
878,live130848ce2142783b,0,train
879,uttran790693,0,train
880,want web developer join company opportunity learn,1,train
881,experience skill knowledge help company,0,train
882,vinaenter center,0,train
883,learn html css js mysql,1,train
884,phplaravel,1,train
885,da nang university science,1,train
886,learn knowledge relate major,0,train
887,bstory,0,train
888,https//congbstory000webhostappcom/,0,train
889,practice project guidance,0,train
890,instructor,0,train
891,aboutme,0,train
892,https//aboutmevinaenter000webhostappcom/,0,train
893,power viblo,0,train
894,work project finish module,0,train
895,center,0,train
896,chotel,0,train
897,practice laravel project,1,train
898,foreign,0,train
899,js,0,train
900,laravel,1,train
901,achievement,0,train
902,da nang university,0,train
903,science technology,0,train
904,information technology,1,train
905,gpa,0,train
906,php laravel,1,train
907,achievement namemm / yyyymm / yyyygpa,0,train
908,complete,0,train
909,le duy anh,0,train
910,frontend web development,1,train
911,da nang viet nam,0,train
912,leduyanh301@gmaicom,0,train
913,develope ability skill,0,train
914,significant contribution,0,train
915,development company,1,train
916,university scicence education university da,0,train
917,nang july/2017 april/2021,0,train
918,major infomatic teacher education,0,train
919,gpa 284/400,0,train
920,bootstrap 4,1,train
921,self learn july/2017 currently,0,train
922,learn knowledge html css sass bootstrap 4,1,train
923,javascriptreactjs redux,1,train
924,working github,1,train
925,recognition gain,0,train
926,create reactjs resort project technology html css,1,train
927,javascript reactjs heroku,1,train
928,create tab ui technologieslike html css,1,train
929,create player music app usingtechnologie html,1,train
930,cssjavascript,1,train
931,create todo list app usingtechnologie html,1,train
932,reactjs resort project aug/2020 sep/2020,0,train
933,link deployment https//appreact,0,train
934,resortherokuappcom,0,train
935,project technology html css javascript,1,train
936,player music app feb/2021 feb/2021,0,train
937,link deployment https//leduyanh07011997githubio,0,train
938,musicapp/,0,train
939,todo list app feb/2021 feb/2021,0,train
940,listapp,0,train
941,form validation library april/2020 april/2020,0,train
942,validationlibrary/,0,train
943,nguyen thi thuy,0,train
944,frontend intern,0,train
945,101b le huu trac son tra da nang,0,train
946,thuynguyen22@studentpasserellesnumeriquesorg,0,train
947,help improve professional,0,train
